Using primary device: cuda:0
Loading fine-tuned model from Qwen/Qwen2.5-1.5B-Instruct...
`torch_dtype` is deprecated! Use `dtype` instead!
Fine-tuned model loaded
Detected 2 GPUs

Starting RL fine-tuning using M3PO (Multi-Path Perception Policy Optimization)...
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: alienpenguin (alienpenguin-inc) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Using a boolean value for 'reinit' is deprecated. Use 'return_previous' or 'finish_previous' instead.
wandb: setting up run dhtwwnog
wandb: Tracking run with wandb version 0.24.0
wandb: Run data is saved locally in /mnt/vurm/homes/homes/vk545/Neuralese/M3PO/wandb/run-20260214_173959-dhtwwnog
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run M3PO kl_divergence
wandb: ⭐️ View project at https://wandb.ai/alienpenguin-inc/latent-space-reasoning
wandb: 🚀 View run at https://wandb.ai/alienpenguin-inc/latent-space-reasoning/runs/dhtwwnog
Weights & Biases initialized.
[M3PO] Training with cross-path interaction: lambda=0.1, temp=0.1
[M3PO] Using kl_divergence gating function with config: {'temperature': 0.1, 'debug': False}
Model wrapped with DataParallel across GPUs: [0, 1]

Iteration 1/1
/homes/vk545/Neuralese/miniconda3/envs/ant/lib/python3.11/site-packages/torch/utils/checkpoint.py:85: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
Iteration 1/1, Step 205/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 206/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 207/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 208/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 209/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 210/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 211/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 212/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 213/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 214/500, GRPO iter 1/1, loss: 0.0002
Iteration 1/1, Step 215/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 216/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 217/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 218/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 219/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 220/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 221/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 222/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 223/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 224/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 225/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 226/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 227/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 228/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 229/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 230/500, GRPO iter 1/1, loss: 0.0001
